VehicleID,VanType
2,Passenger
3,Passenger
4,Passenger
7,Passenger
8,Passenger
10,Passenger
11,Passenger
12,Passenger
13,Cargo
14,Cargo
15,Cargo
32,Cargo
36,Cargo
38,Cargo
39,Cargo
40,Cargo
41,Cargo
42,Cargo
44,Cargo
45,Passenger
46,Passenger
47,Passenger
48,Cargo
49,Cargo
50,Cargo
51,Cargo
52,Cargo
53,Cargo
54,Cargo
57,Cargo
58,Cargo
59,Cargo
60,Cargo
61,Cargo
62,Cargo
63,Cargo
64,Cargo
66,Cargo
67,Cargo
68,Cargo
70,Passenger
72,Passenger
73,Passenger
74,Passenger
75,Passenger
76,Passenger
77,Passenger
78,Passenger
87,Passenger
88,Passenger
89,Passenger
90,Passenger
91,Passenger
92,Passenger
93,Passenger
94,Passenger
95,Passenger
96,Passenger
99,Cargo
100,Cargo
103,Cargo
104,Cargo
107,Cargo
109,Cargo
130,Cargo
132,Cargo
133,Cargo
134,Cargo
135,Cargo
136,Cargo
142,Cargo
143,Cargo
144,Cargo
145,Cargo
150,Cargo
151,Cargo
152,Cargo
154,Cargo
160,Cargo
161,Cargo
164,Passenger
165,Passenger
166,Passenger
167,Passenger
168,Passenger
169,Passenger
177,Passenger
178,Passenger
179,Passenger
180,Passenger
181,Passenger
182,Passenger
183,Passenger
184,Passenger
185,Passenger
186,Passenger
187,Passenger
190,Cargo
191,Cargo
194,Cargo
195,Cargo
198,Cargo
200,Cargo
221,Cargo
223,Cargo
224,Cargo
225,Cargo
226,Cargo
227,Cargo
233,Cargo
234,Cargo
235,Cargo
236,Cargo
241,Cargo
242,Cargo
243,Cargo
245,Cargo
251,Cargo
252,Cargo
255,Passenger
256,Passenger
257,Passenger
258,Passenger
259,Passenger
260,Passenger
268,Passenger
269,Passenger
270,Passenger
271,Passenger
272,Passenger
273,Passenger
274,Passenger
275,Passenger
276,Passenger
277,Passenger
278,Passenger