Vehicle Id,MaintenaceCost,InitialCost,FuelCost
1,12000,51380,0.2
2,12000,38125,0.2
3,12000,38125,0.2
4,12000,38125,0.2
5,12000,35200,0.2
6,12000,35200,0.2
7,12000,38125,0.2
8,12000,38125,0.2
9,12000,19100,0.2
10,12000,38125,0.2
11,12000,38125,0.2
12,12000,38125,0.2
13,12000,38125,0.2
14,12000,38125,0.2
15,12000,38125,0.2
16,12000,35200,0.2
17,12000,35200,0.2
18,12000,51380,0.2
19,12000,51380,0.2
20,12000,51380,0.2
21,12000,35200,0.2
22,12000,35200,0.2
23,12000,51380,0.2
24,12000,35200,0.2
25,12000,35200,0.2
26,12000,35200,0.2
27,12000,51380,0.2
28,12000,35200,0.2
29,12000,25555,0.2
30,12000,25555,0.2
31,12000,35200,0.2
32,12000,38125,0.2
33,12000,19100,0.2
34,12000,25555,0.2
35,12000,51380,0.2
36,12000,38125,0.2
37,12000,51380,0.2
38,12000,38125,0.2
39,12000,38125,0.2
40,12000,38125,0.2
41,12000,38125,0.2
42,12000,38125,0.2
43,12000,51380,0.2
44,12000,38125,0.2
45,12000,42600,0.2
46,12000,42600,0.2
47,12000,42600,0.2
48,12000,38125,0.2
49,12000,38125,0.2
50,12000,38125,0.2
51,12000,38125,0.2
52,12000,38125,0.2
53,12000,38125,0.2
54,12000,38125,0.2
55,12000,25555,0.2
56,12000,51380,0.2
57,12000,38125,0.2
58,12000,38125,0.2
59,12000,38125,0.2
60,12000,38125,0.2
61,12000,38125,0.2
62,12000,38125,0.2
63,12000,38125,0.2
64,12000,38125,0.2
65,12000,19100,0.2
66,12000,38125,0.2
67,12000,38125,0.2
68,12000,38125,0.2
69,12000,35200,0.2
70,12000,42600,0.2
71,12000,35200,0.2
72,12000,42600,0.2
73,12000,42600,0.2
74,12000,42600,0.2
75,12000,42600,0.2
76,12000,42600,0.2
77,12000,42600,0.2
78,12000,42600,0.2
79,12000,38000,0.2
80,12000,38000,0.2
81,12000,38000,0.2
82,12000,38000,0.2
83,12000,38000,0.2
84,12000,38000,0.2
85,12000,38000,0.2
86,12000,42600,0.2
87,12000,42600,0.2
88,12000,42600,0.2
89,12000,42600,0.2
90,12000,42600,0.2
91,12000,42600,0.2
92,12000,42600,0.2
93,12000,42600,0.2
94,12000,42600,0.2
95,12000,42600,0.2
96,12000,42600,0.2
97,12000,35200,0.2
98,12000,51380,0.2
99,7200,44900,0.05
100,7200,44900,0.05
101,7200,42000,0.05
102,7200,16000,0.05
103,7200,44900,0.05
104,7200,44900,0.05
105,7200,16000,0.05
106,7200,16000,0.05
107,7200,44900,0.05
108,7200,16000,0.05
109,7200,44900,0.05
110,7200,16000,0.05
111,7200,42000,0.05
112,7200,42000,0.05
113,12000,51380,0.2
114,12000,51380,0.2
115,12000,51380,0.2
116,7200,42000,0.05
117,7200,16000,0.05
118,7200,42000,0.05
119,7200,16000,0.05
120,7200,16000,0.05
121,7200,42000,0.05
122,12000,51380,0.2
123,7200,16000,0.05
124,7200,16000,0.05
125,7200,42000,0.05
126,7200,16000,0.05
127,7200,16000,0.05
128,7200,16000,0.05
129,7200,16000,0.05
130,7200,44900,0.05
131,7200,42000,0.05
132,7200,44900,0.05
133,7200,44900,0.05
134,7200,44900,0.05
135,7200,44900,0.05
136,7200,44900,0.05
137,12000,51380,0.2
138,7200,16000,0.05
139,7200,16000,0.05
140,7200,16000,0.05
141,7200,16000,0.05
142,7200,44900,0.05
143,7200,44900,0.05
144,7200,44900,0.05
145,7200,44900,0.05
146,7200,16000,0.05
147,7200,16000,0.05
148,7200,16000,0.05
149,12000,51380,0.2
150,7200,44900,0.05
151,7200,44900,0.05
152,7200,44900,0.05
153,7200,16000,0.05
154,7200,44900,0.05
155,7200,16000,0.05
156,7200,16000,0.05
157,7200,16000,0.05
158,7200,16000,0.05
159,7200,16000,0.05
160,7200,44900,0.05
161,7200,44900,0.05
162,7200,16000,0.05
163,7200,16000,0.05
164,12000,42600,0.2
165,12000,42600,0.2
166,12000,42600,0.2
167,12000,42600,0.2
168,12000,42600,0.2
169,12000,42600,0.2
170,12000,42000,0.15
171,12000,42000,0.15
172,12000,42000,0.15
173,12000,42000,0.15
174,12000,42000,0.15
175,12000,42000,0.15
176,12000,42000,0.15
177,12000,42600,0.2
178,12000,42600,0.2
179,12000,42600,0.2
180,12000,42600,0.2
181,12000,42600,0.2
182,12000,42600,0.2
183,12000,42600,0.2
184,12000,42600,0.2
185,12000,42600,0.2
186,12000,42600,0.2
187,12000,42600,0.2
188,12000,35200,0.2
189,7200,51380,0.05
190,7200,44900,0.05
191,7200,44900,0.05
192,7200,42000,0.05
193,7200,16000,0.05
194,7200,44900,0.05
195,7200,44900,0.05
196,7200,16000,0.05
197,7200,16000,0.05
198,7200,44900,0.05
199,7200,16000,0.05
200,7200,44900,0.05
201,7200,16000,0.05
202,7200,42000,0.05
203,7200,42000,0.05
204,12000,51380,0.05
205,12000,51380,0.05
206,12000,51380,0.05
207,7200,42000,0.05
208,7200,16000,0.05
209,7200,42000,0.05
210,7200,16000,0.05
211,7200,16000,0.05
212,7200,42000,0.05
213,7200,51380,0.05
214,7200,16000,0.05
215,7200,16000,0.05
216,7200,16000,0.05
217,7200,16000,0.05
218,7200,16000,0.05
219,7200,16000,0.05
220,7200,16000,0.05
221,7200,44900,0.05
222,7200,42000,0.05
223,7200,44900,0.05
224,7200,44900,0.05
225,7200,44900,0.05
226,7200,44900,0.05
227,7200,44900,0.05
228,7200,51380,0.05
229,7200,16000,0.05
230,7200,16000,0.05
231,7200,16000,0.05
232,7200,16000,0.05
233,7200,44900,0.05
234,7200,44900,0.05
235,7200,44900,0.05
236,7200,44900,0.05
237,7200,16000,0.05
238,7200,16000,0.05
239,7200,16000,0.05
240,7200,51380,0.05
241,7200,44900,0.05
242,7200,44900,0.05
243,7200,44900,0.05
244,7200,16000,0.05
245,7200,44900,0.05
246,7200,16000,0.05
247,7200,16000,0.05
248,7200,16000,0.05
249,7200,16000,0.05
250,7200,16000,0.05
251,7200,44900,0.05
252,7200,44900,0.05
253,7200,16000,0.05
254,7200,16000,0.05
255,7200,42600,0.05
256,7200,42600,0.05
257,7200,42600,0.05
258,7200,42600,0.05
259,7200,42600,0.05
260,7200,42600,0.05
261,7200,42000,0.05
262,7200,42000,0.05
263,7200,42000,0.05
264,7200,42000,0.05
265,7200,42000,0.05
266,7200,42000,0.05
267,7200,42000,0.05
268,7200,42600,0.05
269,7200,42600,0.05
270,7200,42600,0.05
271,7200,42600,0.05
272,7200,42600,0.05
273,7200,42600,0.05
274,7200,42600,0.05
275,7200,42600,0.05
276,7200,42600,0.05
277,7200,42600,0.05
278,7200,42600,0.05
279,7200,42000,0.05